iter	Passed	Remaining
0	155	155749
1	158	79122
2	160	53474
3	163	40598
4	165	32877
5	167	27770
6	172	24412
7	174	21638
8	176	19469
9	178	17714
10	181	16291
11	183	15129
12	186	14192
13	189	13312
14	190	12534
15	192	11855
16	194	11258
17	196	10735
18	199	10289
19	201	9863
20	202	9443
21	203	9055
22	204	8699
23	205	8371
24	207	8075
25	208	7798
26	209	7539
27	210	7307
28	212	7104
29	213	6913
30	214	6720
31	216	6536
32	217	6364
33	218	6202
34	219	6049
35	220	5905
36	221	5769
37	222	5643
38	224	5524
39	226	5432
40	227	5323
41	228	5217
42	229	5117
43	231	5020
44	232	4926
45	233	4837
46	234	4751
47	235	4669
48	236	4591
49	237	4520
50	239	4459
51	241	4395
52	242	4328
53	243	4264
54	244	4202
55	245	4141
56	246	4082
57	247	4025
58	249	3972
59	250	3919
60	251	3868
61	253	3836
62	256	3808
63	257	3760
64	258	3715
65	259	3670
66	260	3626
67	261	3584
68	262	3543
69	263	3502
70	264	3464
71	265	3427
72	267	3402
73	269	3372
74	270	3339
75	272	3308
76	273	3275
77	274	3243
78	275	3213
79	276	3183
80	278	3154
81	279	3126
82	280	3094
83	281	3070
84	283	3049
85	284	3024
86	285	2998
87	286	2971
88	287	2946
89	288	2921
90	289	2896
91	291	2872
92	292	2849
93	293	2828
94	294	2806
95	296	2789
96	297	2771
97	298	2750
98	299	2729
99	300	2708
100	302	2688
101	303	2668
102	304	2648
103	305	2629
104	306	2610
105	307	2594
106	308	2576
107	310	2561
108	311	2549
109	313	2532
110	314	2515
111	315	2499
112	316	2483
113	317	2467
114	318	2450
115	319	2435
116	320	2418
117	321	2403
118	322	2389
119	323	2374
120	325	2364
121	326	2350
122	327	2337
123	329	2324
124	330	2310
125	331	2297
126	332	2282
127	333	2269
128	334	2256
129	335	2245
130	336	2232
131	337	2221
132	339	2210
133	341	2203
134	342	2193
135	343	2181
136	344	2169
137	345	2157
138	346	2145
139	347	2134
140	348	2123
141	349	2111
142	350	2101
143	351	2090
144	352	2080
145	354	2072
146	355	2065
147	357	2055
148	358	2046
149	359	2038
150	361	2029
151	362	2020
152	363	2011
153	365	2005
154	366	1999
155	369	1997
156	371	1993
157	372	1986
158	374	1979
159	375	1973
160	376	1964
161	378	1958
162	380	1952
163	381	1947
164	384	1944
165	385	1938
166	387	1932
167	388	1925
168	390	1918
169	391	1911
170	392	1904
171	394	1896
172	395	1889
173	397	1888
174	399	1882
175	400	1875
176	401	1868
177	403	1861
178	404	1855
179	405	1849
180	407	1843
181	408	1837
182	410	1833
183	412	1831
184	414	1825
185	416	1820
186	417	1816
187	419	1810
188	420	1804
189	422	1800
190	424	1798
191	426	1796
192	428	1791
193	429	1786
194	431	1780
195	432	1775
196	434	1769
197	435	1764
198	436	1757
199	438	1753
200	440	1750
201	441	1745
202	443	1742
203	445	1737
204	446	1733
205	448	1728
206	450	1724
207	451	1719
208	453	1716
209	455	1712
210	456	1707
211	458	1702
212	459	1697
213	460	1693
214	462	1688
215	463	1683
216	465	1679
217	467	1676
218	469	1672
219	470	1668
220	472	1663
221	473	1658
222	474	1653
223	476	1650
224	478	1648
225	480	1646
226	483	1644
227	484	1640
228	486	1636
229	487	1632
230	489	1627
231	490	1623
232	491	1619
233	493	1614
234	494	1610
235	496	1607
236	498	1604
237	499	1600
